seed,method,average_return,success_rate,average_episode_length,dataset_state_action_coverage,behavior_policy_success_rate,behavior_policy_average_return
0,Offline Q-learning,-80.0,0.0,40.0,0.17857142857142858,1.0,-11.44
0,Fixed-alpha CQL,-11.0,1.0,12.0,0.17857142857142858,1.0,-11.44
0,Coverage-aware CQL,-11.0,1.0,12.0,0.17857142857142858,1.0,-11.44
1,Offline Q-learning,-79.0,0.0,40.0,0.17857142857142858,1.0,-11.48
1,Fixed-alpha CQL,-11.0,1.0,12.0,0.17857142857142858,1.0,-11.48
1,Coverage-aware CQL,-11.0,1.0,12.0,0.17857142857142858,1.0,-11.48
2,Offline Q-learning,-80.0,0.0,40.0,0.17346938775510204,1.0,-11.36
2,Fixed-alpha CQL,-79.0,0.0,40.0,0.17346938775510204,1.0,-11.36
2,Coverage-aware CQL,-40.0,0.0,40.0,0.17346938775510204,1.0,-11.36
3,Offline Q-learning,-80.0,0.0,40.0,0.15816326530612246,1.0,-11.36
3,Fixed-alpha CQL,-11.0,1.0,12.0,0.15816326530612246,1.0,-11.36
3,Coverage-aware CQL,-11.0,1.0,12.0,0.15816326530612246,1.0,-11.36
4,Offline Q-learning,-80.0,0.0,40.0,0.1326530612244898,1.0,-11.64
4,Fixed-alpha CQL,-11.0,1.0,12.0,0.1326530612244898,1.0,-11.64
4,Coverage-aware CQL,-11.0,1.0,12.0,0.1326530612244898,1.0,-11.64
5,Offline Q-learning,-80.0,0.0,40.0,0.17857142857142858,1.0,-11.44
5,Fixed-alpha CQL,-77.0,0.0,40.0,0.17857142857142858,1.0,-11.44
5,Coverage-aware CQL,-11.0,1.0,12.0,0.17857142857142858,1.0,-11.44
6,Offline Q-learning,-80.0,0.0,40.0,0.16326530612244897,1.0,-11.52
6,Fixed-alpha CQL,-79.0,0.0,40.0,0.16326530612244897,1.0,-11.52
6,Coverage-aware CQL,-11.0,1.0,12.0,0.16326530612244897,1.0,-11.52
7,Offline Q-learning,-80.0,0.0,40.0,0.16326530612244897,1.0,-11.72
7,Fixed-alpha CQL,-11.0,1.0,12.0,0.16326530612244897,1.0,-11.72
7,Coverage-aware CQL,-11.0,1.0,12.0,0.16326530612244897,1.0,-11.72
